chinese,chinese_tw,english,ja_jp,vietnamese,category,subcategory,notes
炼器师,煉器師,Artificer,煉器師,Luyện Khí Sư,persona,profession,Weapon crafting bonus
体修,體修,Body Cultivator,體修,Thể Tu,persona,profession,Physical cultivation
道侣,道侶,Dao Companion,道侶,Đạo Lữ,relation,,Cultivation partner/spouse
师傅,師傅,Master,師傅,Sư Phụ,relation,,Teacher in cultivation
徒弟,徒弟,Disciple,徒弟,Đồ Đệ,relation,,Student of a master
父母,父母,Parent,父母,Cha Mẹ,relation,,
子女,子女,Child,子女,Con Cái,relation,,
父亲,父親,Father,父親,Cha,relation,,
母亲,母親,Mother,母親,Mẹ,relation,,
儿子,兒子,Son,兒子,Con Trai,relation,,
女儿,女兒,Daughter,女兒,Con Gái,relation,,
兄弟姐妹,兄弟姐妹,Sibling,兄弟姐妹,Anh Chị Em,relation,,
哥哥,哥哥,Elder Brother,哥哥,Anh Trai,relation,,
弟弟,弟弟,Younger Brother,弟弟,Em Trai,relation,,
姐姐,姐姐,Elder Sister,姐姐,Chị Gái,relation,,
妹妹,妹妹,Younger Sister,妹妹,Em Gái,relation,,
朋友,朋友,Friend,朋友,Bằng Hữu,relation,,
仇人,仇人,Enemy,仇人,Kẻ Thù,relation,,Also: Foe
亲属,親屬,Kin,親屬,Thân Tộc,relation,,Extended family
上品,上品,Superior Grade,上品,Thượng Phẩm,grade,,Also: High-grade
中品,中品,Medium Grade,中品,Trung Phẩm,grade,,Also: Mid-grade
下品,下品,Inferior Grade,下品,Hạ Phẩm,grade,,Also: Low-grade
金刚不坏体,金剛不壞體,Indestructible Vajra Body,金剛不壞體,Kim Cang Bất Hoại Thể,technique,inferior,Metal - Shaolin technique
长春功,長春功,Eternal Spring Art,長春功,Trường Xuân Công,technique,inferior,Wood - Basic longevity technique
若水诀,若水訣,Flowing Water Scripture,若水訣,Nhược Thủy Quyết,technique,inferior,Water - Soft and yielding
火灵诀,火靈訣,Fire Spirit Scripture,火靈訣,Hỏa Linh Quyết,technique,inferior,Fire - Basic fire technique
搬山诀,搬山訣,Mountain Moving Scripture,搬山訣,Bàn Sơn Quyết,technique,inferior,Earth - Strength technique
冰心诀,冰心訣,Ice Heart Scripture,冰心訣,Băng Tâm Quyết,technique,inferior,Ice - Calming technique
神行百变,神行百變,Divine Movement Hundred Changes,神行百變,Thần Hành Bách Biến,technique,inferior,Wind - Movement technique
敛息术,斂息術,Breath Concealment Art,斂息術,Liễm Tức Thuật,technique,inferior,Dark - Stealth technique
掌心雷,掌心雷,Palm Thunder,掌心雷,Chưởng Tâm Lôi,technique,inferior,Thunder - Daoist technique
燃血大法,燃血大法,Blood Burning Art,燃血大法,Nhiên Huyết Đại Pháp,technique,inferior,Evil - Temporary power boost
金钟罩,金鐘罩,Golden Bell Shield,金鐘罩,Kim Chung Tráo,technique,medium,Metal - Defensive technique
青帝木皇功,青帝木皇功,Azure Emperor Wood Sovereign Art,青帝木皇功,Thanh Đế Mộc Hoàng Công,technique,medium,Wood - Wood element mastery
黑帝水皇拳,黑帝水皇拳,Black Emperor Water Sovereign Fist,黑帝水皇拳,Hắc Đế Thủy Hoàng Quyền,technique,medium,Water - Water element mastery
纯阳无极功,純陽無極功,Pure Yang Limitless Art,純陽無極功,Thuần Dương Vô Cực Công,technique,medium,Fire - Yang-based technique
不动明王诀,不動明王訣,Immovable Wisdom King Scripture,不動明王訣,Bất Động Minh Vương Quyết,technique,medium,Earth - Buddhist technique
玄冰劲,玄冰勁,Profound Ice Force,玄冰勁,Huyền Băng Kình,technique,medium,Ice - Ice attack technique
梯云纵,梯雲縱,Cloud Ascending Steps,梯雲縱,Thê Vân Túng,technique,medium,Wind - Wudang movement technique
鬼影迷踪,鬼影迷蹤,Ghost Shadow Trackless,鬼影迷蹤,Quỷ Ảnh Mê Tung,technique,medium,Dark - Stealth movement
五雷正法,五雷正法,Five Thunder Righteous Method,五雷正法,Ngũ Lôi Chính Pháp,technique,medium,Thunder - Orthodox thunder arts
吸星大法,吸星大法,Star Absorbing Art,吸星大法,Hấp Tinh Đại Pháp,technique,medium,Evil - Absorbs others' power
草字剑诀,草字劍訣,Grass Script Sword Scripture,草字劍訣,Thảo Tự Kiếm Quyết,technique,superior,Bright Heart - Legendary sword art
神剑御雷真诀,神劍御雷真訣,Divine Sword Thunder Control Scripture,神劍御雷真訣,Thần Kiếm Ngự Lôi Chân Quyết,technique,superior,Bright Heart - Thunder sword art
大河剑意,大河劍意,Great River Sword Intent,大河劍意,Đại Hà Kiếm Ý,technique,superior,Bright Heart - Flowing sword art
青帝长生诀,青帝長生訣,Azure Emperor Longevity Scripture,青帝長生訣,Thanh Đế Trường Sinh Quyết,technique,superior,Hundred Beasts - Wood longevity art
神象镇狱劲,神象鎮獄勁,Divine Elephant Prison Suppression Force,神象鎮獄勁,Thần Tượng Trấn Ngục Kình,technique,superior,Hundred Beasts - Strength technique
鲲鹏宝术,鯤鵬寶術,Kunpeng Treasure Art,鯤鵬寶術,Côn Bằng Bảo Thuật,technique,superior,Hundred Beasts - Transformation art
虚空经,虛空經,Void Scripture,虛空經,Hư Không Kinh,technique,superior,Water Mirror - Space manipulation
太上忘情录,太上忘情錄,Supreme Forgetfulness Record,太上忘情錄,Thái Thượng Vong Tình Lục,technique,superior,Water Mirror - Emotional detachment
逍遥游,逍遙遊,Carefree Wandering,逍遙遊,Tiêu Dao Du,technique,superior,Water Mirror - Freedom technique
吞天魔功,吞天魔功,Heaven Devouring Demonic Art,吞天魔功,Thôn Thiên Ma Công,technique,superior,Underworld King - Absorption technique
天魔策,天魔策,Heavenly Demon Strategy,天魔策,Thiên Ma Sách,technique,superior,Underworld King - Demonic technique
冥河真经,冥河真經,Styx River True Scripture,冥河真經,Minh Hà Chân Kinh,technique,superior,Underworld King - Blood technique
焚诀,焚訣,Burning Scripture,焚訣,Phần Quyết,technique,superior,Crimson Hook - Fire absorption
道心种魔大法,道心種魔大法,Dao Heart Demon Planting Art,道心種魔大法,Đạo Tâm Chủng Ma Đại Pháp,technique,superior,Crimson Hook - Mind control
大衍决,大衍決,Great Derivation Scripture,大衍決,Đại Diễn Quyết,technique,superior,Crimson Hook - Puppet control
大乐赋,大樂賦,Great Bliss Rhapsody,大樂賦,Đại Lạc Phú,technique,superior,Joy Union - Dual cultivation
天魔舞,天魔舞,Heavenly Demon Dance,天魔舞,Thiên Ma Vũ,technique,superior,Joy Union - Charm technique
凌波微步,凌波微步,Rippling Steps,凌波微步,Lăng Ba Vi Bộ,technique,superior,Joy Union - Movement technique
过去弥陀经,過去彌陀經,Past Amitabha Sutra,過去彌陀經,Quá Khứ Di Đà Kinh,technique,superior,Soul Suppression - Buddhist technique
神霄雷法,神霄雷法,Divine Firmament Thunder Method,神霄雷法,Thần Tiêu Lôi Pháp,technique,superior,Soul Suppression - Orthodox thunder
九字真言,九字真言,Nine Word Mantra,九字真言,Cửu Tự Chân Ngôn,technique,superior,Soul Suppression - Daoist mantra
幽冥鬼爪,幽冥鬼爪,Netherworld Ghost Claw,幽冥鬼爪,U Minh Quỷ Trảo,technique,superior,Phantom Shadow - Assassination art
三千雷动,三千雷動,Three Thousand Thunders,三千雷動,Tam Thiên Lôi Động,technique,superior,Phantom Shadow - Speed technique
血神经,血神經,Blood Spirit Scripture,血神經,Huyết Thần Kinh,technique,superior,Phantom Shadow - Blood technique
神机百炼,神機百鍊,Divine Mechanism Hundred Refinements,神機百鍊,Thần Cơ Bách Luyện,technique,superior,Thousand Sails - Crafting technique
周天星斗大阵,周天星斗大陣,Cosmic Star Formation,周天星斗大陣,Chu Thiên Tinh Đẩu Đại Trận,technique,superior,Thousand Sails - Formation technique
纵地金光,縱地金光,Earth-Spanning Golden Light,縱地金光,Túng Địa Kim Quang,technique,superior,Thousand Sails - Speed technique
剑,劍,Sword,剣,Kiếm,weapon,type,
刀,刀,Saber,刀,Đao,weapon,type,Also: Blade
枪,槍,Spear,槍,Thương,weapon,type,
棍,棍,Staff,棍,Côn,weapon,type,
扇,扇,Fan,扇,Phiến,weapon,type,
鞭,鞭,Whip,鞭,Tiên,weapon,type,
琴,琴,Zither,琴,Cầm,weapon,type,Musical weapon
笛,笛,Flute,笛,Địch,weapon,type,Musical weapon
暗器,暗器,Hidden Weapon,暗器,Ám Khí,weapon,type,
青霜剑,青霜劍,Cyan Frost Sword,青霜劍,Thanh Sương Kiếm,weapon,named,Sword - Foundation
井中月,井中月,Moon in the Well,井中月,Tỉnh Trung Nguyệt,weapon,named,Saber - Foundation
火尖枪,火尖槍,Flame Tip Spear,火尖槍,Hỏa Tiêm Thương,weapon,named,Spear - Foundation
囚龙棒,囚龍棒,Dragon Binding Staff,囚龍棒,Tù Long Bổng,weapon,named,Staff - Foundation
桃花扇,桃花扇,Peach Blossom Fan,桃花扇,Đào Hoa Phiến,weapon,named,Fan - Foundation
打神鞭,打神鞭,God-Beating Whip,打神鞭,Đả Thần Tiên,weapon,named,Whip - Foundation
天魔琴,天魔琴,Heavenly Demon Zither,天魔琴,Thiên Ma Cầm,weapon,named,Zither - Foundation
鬼笛陈情,鬼笛陳情,Ghost Flute Chenqing,鬼笛陳情,Quỷ Địch Trần Tình,weapon,named,Flute - Foundation
无影针,無影針,Shadowless Needle,無影針,Vô Ảnh Châm,weapon,named,Hidden - Foundation
万兽笛,萬獸笛,Myriad Beast Flute,萬獸笛,Vạn Thú Địch,weapon,named,Flute - Foundation
血饮狂刀,血飲狂刀,Blood-Drinking Mad Saber,血飲狂刀,Huyết Ẩm Cuồng Đao,weapon,named,Saber - Foundation
玄铁重剑,玄鐵重劍,Black Iron Heavy Sword,玄鐵重劍,Huyền Thiết Trọng Kiếm,weapon,named,Sword - Foundation
紫薇软剑,紫薇軟劍,Purple Star Soft Sword,紫薇軟劍,Tử Vi Nhuyễn Kiếm,weapon,named,Sword - Foundation
水火囚龙棍,水火囚龍棍,Water-Fire Dragon Staff,水火囚龍棍,Thủy Hỏa Tù Long Côn,weapon,named,Staff - Foundation
青竹蜂云剑,青竹蜂雲劍,Green Bamboo Bee Cloud Sword,青竹蜂雲劍,Thanh Trúc Phong Vân Kiếm,weapon,named,Sword - Core
随心铁杆兵,隨心鐵桿兵,Compliant Golden-Hooped Rod,隨心鐵桿兵,Tùy Tâm Thiết Can Binh,weapon,named,Staff - Core
五火七禽扇,五火七禽扇,Five Fire Seven Bird Fan,五火七禽扇,Ngũ Hỏa Thất Cầm Phiến,weapon,named,Fan - Core
斩仙飞刀,斬仙飛刀,Immortal-Slaying Flying Dagger,斬仙飛刀,Trảm Tiên Phi Đao,weapon,named,Hidden - Core
干将莫邪,干將莫邪,Ganjiang and Moye,干將莫邪,Can Tương Mạc Tà,weapon,named,Sword - Core
芭蕉扇,芭蕉扇,Banana Leaf Fan,芭蕉扇,Ba Tiêu Phiến,weapon,named,Fan - Core
紫金降魔杵,紫金降魔杵,Purple-Gold Demon Subduing Pestle,紫金降魔杵,Tử Kim Hàng Ma Xử,weapon,named,Staff - Core
弑神枪,弒神槍,God-Slaying Spear,弒神槍,Thí Thần Thương,weapon,named,Spear - Nascent
赤锋矛,赤鋒矛,Crimson Edge Spear,赤鋒矛,Xích Phong Mâu,weapon,named,Spear - Nascent
诛仙剑,誅仙劍,Immortal Execution Sword,誅仙劍,Tru Tiên Kiếm,weapon,named,Sword - Nascent
木灵甲,木靈甲,Wood Spirit Armor,木靈甲,Mộc Linh Giáp,auxiliary,,Foundation - Defense
血菩提,血菩提,Blood Bodhi,血菩提,Huyết Bồ Đề,auxiliary,,Foundation - Healing
人参果(伪),人參果(偽),Pseudo Ginseng Fruit,人參果(偽),Nhân Sâm Quả (Ngụy),auxiliary,,Foundation - Lifespan
万宝令,萬寶令,Myriad Treasures Token,萬寶令,Vạn Bảo Lệnh,auxiliary,,Foundation - Trading bonus
铁精,鐵精,Refined Iron Essence,鐵精,Thiết Tinh,auxiliary,,Foundation - Crafting material
源天神眼,源天神眼,Origin Heaven Divine Eye,源天神眼,Nguyên Thiên Thần Nhãn,auxiliary,,Foundation - Detection
踏云靴,踏雲靴,Cloud-Treading Boots,踏雲靴,Đạp Vân Ngoa,auxiliary,,Foundation - Movement
菩提子,菩提子,Bodhi Seed,菩提子,Bồ Đề Tử,auxiliary,,Foundation - Breakthrough bonus
金丝软甲,金絲軟甲,Golden Silk Soft Armor,金絲軟甲,Kim Ty Nhuyễn Giáp,auxiliary,,Foundation - Defense
寒玉床,寒玉床,Cold Jade Bed,寒玉床,Hàn Ngọc Sàng,auxiliary,,Foundation - Cultivation bonus
无相面具,無相面具,Formless Mask,無相面具,Vô Tướng Diện Cụ,auxiliary,,Foundation - Disguise
神风舟,神風舟,Divine Wind Boat,神風舟,Thần Phong Chu,auxiliary,,Core - Flying vehicle
昆仑镜,崑崙鏡,Kunlun Mirror,崑崙鏡,Côn Luân Kính,auxiliary,,Core - Far-seeing
龙凤呈祥戒,龍鳳呈祥戒,Dragon-Phoenix Harmony Ring,龍鳳呈祥戒,Long Phượng Trình Tường Giới,auxiliary,,Core - Dual cultivation
隐形披风,隱形披風,Invisibility Cloak,隱形披風,Ẩn Hình Phi Phong,auxiliary,,Core - Stealth
御兽环,御獸環,Beast Control Ring,御獸環,Ngự Thú Hoàn,auxiliary,,Core - Taming bonus
太虚甲,太虛甲,Supreme Void Armor,太虛甲,Thái Hư Giáp,auxiliary,,Core - Defense
八卦炉,八卦爐,Eight Trigrams Furnace,八卦爐,Bát Quái Lô,auxiliary,,Core - Alchemy bonus
聚宝盆,聚寶盆,Treasure Gathering Basin,聚寶盆,Tụ Bảo Bồn,auxiliary,,Core - Wealth generation
天地烘炉,天地烘爐,Heaven-Earth Furnace,天地烘爐,Thiên Địa Hồng Lô,auxiliary,,Core - Crafting bonus
六道剑匣,六道劍匣,Six Paths Sword Case,六道劍匣,Lục Đạo Kiếm Hạp,auxiliary,,Core - Cultivation bonus
掌天瓶,掌天瓶,Heaven-Grasping Vial,掌天瓶,Chưởng Thiên Bình,auxiliary,,Nascent - Cultivation boost
传国玉玺,傳國玉璽,Imperial Jade Seal,傳國玉璽,Truyền Quốc Ngọc Tỷ,auxiliary,,Nascent - Suppression bonus
灵眼之泉,靈眼之泉,Spirit Eye Spring,靈眼之泉,Linh Nhãn Chi Tuyền,auxiliary,,Core - Cultivation area
万魂幡,萬魂幡,Myriad Soul Banner,萬魂幡,Vạn Hồn Phiên,auxiliary,,Nascent - Soul devouring
神木王鼎,神木王鼎,Divine Wood King Cauldron,神木王鼎,Thần Mộc Vương Đỉnh,auxiliary,,Nascent - Alchemy
破境丹,破境丹,Breakthrough Pill,破境丹,Phá Cảnh Đan,elixir,type,For breaking through bottlenecks
延寿丹,延壽丹,Longevity Pill,延壽丹,Diên Thọ Đan,elixir,type,Extends lifespan
长生丹,長生丹,Longevity Pill,長生丹,Trường Sinh Đan,elixir,type,Extends lifespan
燃血丹,燃血丹,Blood Burning Pill,燃血丹,Nhiên Huyết Đan,elixir,type,Temporary power boost
疗伤丹,療傷丹,Healing Pill,療傷丹,Liệu Thương Đan,elixir,type,Restores HP
回春丹,回春丹,Rejuvenation Pill,回春丹,Hồi Xuân Đan,elixir,type,Healing over time
练气破境丹,練氣破境丹,Qi Refinement Breakthrough Pill,練氣破境丹,Luyện Khí Phá Cảnh Đan,elixir,named,Qi Refinement - Breakthrough
筑基破境丹,築基破境丹,Foundation Breakthrough Pill,築基破境丹,Trúc Cơ Phá Cảnh Đan,elixir,named,Foundation - Breakthrough
金丹破境丹,金丹破境丹,Core Formation Breakthrough Pill,金丹破境丹,Kim Đan Phá Cảnh Đan,elixir,named,Core - Breakthrough
练气长生丹,練氣長生丹,Qi Refinement Longevity Pill,練氣長生丹,Luyện Khí Trường Sinh Đan,elixir,named,Qi Refinement - Lifespan
筑基长生丹,築基長生丹,Foundation Longevity Pill,築基長生丹,Trúc Cơ Trường Sinh Đan,elixir,named,Foundation - Lifespan
金丹长生丹,金丹長生丹,Core Formation Longevity Pill,金丹長生丹,Kim Đan Trường Sinh Đan,elixir,named,Core - Lifespan
元婴长生丹,元嬰長生丹,Nascent Soul Longevity Pill,元嬰長生丹,Nguyên Anh Trường Sinh Đan,elixir,named,Nascent - Lifespan
练气燃血丹,練氣燃血丹,Qi Refinement Blood Burning Pill,練氣燃血丹,Luyện Khí Nhiên Huyết Đan,elixir,named,Qi Refinement - Combat
筑基燃血丹,築基燃血丹,Foundation Blood Burning Pill,築基燃血丹,Trúc Cơ Nhiên Huyết Đan,elixir,named,Foundation - Combat
金丹燃血丹,金丹燃血丹,Core Formation Blood Burning Pill,金丹燃血丹,Kim Đan Nhiên Huyết Đan,elixir,named,Core - Combat
元婴燃血丹,元嬰燃血丹,Nascent Soul Blood Burning Pill,元嬰燃血丹,Nguyên Anh Nhiên Huyết Đan,elixir,named,Nascent - Combat
练气回春丹,練氣回春丹,Qi Refinement Rejuvenation Pill,練氣回春丹,Luyện Khí Hồi Xuân Đan,elixir,named,Qi Refinement - Healing
筑基回春丹,築基回春丹,Foundation Rejuvenation Pill,築基回春丹,Trúc Cơ Hồi Xuân Đan,elixir,named,Foundation - Healing
金丹回春丹,金丹回春丹,Core Formation Rejuvenation Pill,金丹回春丹,Kim Đan Hồi Xuân Đan,elixir,named,Core - Healing
元婴回春丹,元嬰回春丹,Nascent Soul Rejuvenation Pill,元嬰回春丹,Nguyên Anh Hồi Xuân Đan,elixir,named,Nascent - Healing
灵石,靈石,Spirit Stone,霊石,Linh Thạch,item,,Currency
丹药,丹藥,Elixir,丹薬,Đan Dược,item,,Also: Pill - Medicine
法宝,法寶,Artifact,法宝,Pháp Bảo,item,,Magical treasure
兵器,兵器,Weapon,武器,Binh Khí,item,,
功法,功法,Cultivation Technique,功法,Công Pháp,item,,Also: Art - Manual
辅助装备,輔助裝備,Auxiliary Equipment,補助装備,Trang Bị Phụ Trợ,item,,Accessories
吐纳,吐納,Respire,吐納,Thổ Nạp,action,solo,Gain experience
突破,突破,Breakthrough,突破,Đột Phá,action,solo,Advance realm
疗伤,療傷,Self Heal,療傷,Liệu Thương,action,solo,Recover HP
采集,採集,Harvest,採集,Thu Thập,action,solo,Gather plants
狩猎,狩獵,Hunt,狩猟,Săn Bắn,action,solo,Hunt animals
挖矿,挖礦,Mine,採鉱,Khai Khoáng,action,solo,Extract ore
炼丹,煉丹,Refine Elixir,錬丹,Luyện Đan,action,solo,Craft pills
铸造,鑄造,Forge,鋳造,Chú Tạo,action,solo,Craft equipment
温养兵器,溫養兵器,Nurture Weapon,武器温養,Ôn Dưỡng Binh Khí,action,solo,Increase proficiency
购买,購買,Buy,購入,Mua,action,solo,Purchase items
出售,出售,Sell,売却,Bán,action,solo,Sell items
消遣,消遣,Play,気晴らし,Tiêu Khiển,action,solo,Relax
御兽,御獸,Tame Beast,御獣,Ngự Thú,action,solo,Capture spirit beast
移动,移動,Move,移動,Di Chuyển,action,solo,Travel
移动到区域,移動到區域,Move to Region,地域へ移動,Di Chuyển Tới Khu Vực,action,solo,Travel to location
移动到角色,移動到角色,Move to Character,人物へ移動,Di Chuyển Tới Nhân Vật,action,solo,Travel to person
移动探索,移動探索,Explore,探索移動,Thám Tác,action,solo,Explore direction
离开区域,離開區域,Leave Region,地域を離れる,Rời Khu Vực,action,solo,Depart area
远离角色,遠離角色,Move Away,人物から離れる,Rời Xa Nhân Vật,action,solo,Distance from person
帮助凡人,幫助凡人,Aid Mortals,凡人を助ける,Giúp Đỡ Phàm Nhân,action,solo,Righteous action
搜刮凡人,搜刮凡人,Plunder Mortals,凡人を略奪する,Cướp Đoạt Phàm Nhân,action,solo,Evil action
吞噬凡人,吞噬凡人,Devour Mortals,凡人を喰らう,Thôn Phệ Phàm Nhân,action,solo,Consume souls
攀谈,攀談,Converse,話しかける,Bắt Chuyện,action,mutual,Chat
交谈,交談,Talk,会話,Trò Chuyện,action,mutual,Dialogue
切磋,切磋,Spar,手合わせ,Tỷ Thí,action,mutual,Friendly combat
攻击,攻擊,Attack,攻撃,Công Kích,action,mutual,Initiate combat
发起战斗,發起戰鬥,Initiate Battle,戦闘を仕掛ける,Khởi Xướng Chiến Đấu,action,mutual,Start fight
暗杀,暗殺,Assassinate,暗殺,Ám Sát,action,mutual,Stealth kill
逃离,逃離,Escape,逃走,Đào Ly,action,mutual,Flee combat
双修,雙修,Dual Cultivation,双修,Song Tu,action,mutual,Partner cultivation
传道,傳道,Impart,伝道,Truyền Đạo,action,mutual,Teach disciple
赠送,贈送,Gift,贈与,Tặng,action,mutual,Give items
抢夺洞府,搶奪洞府,Seize Cave,洞府を奪う,Cướp Đoạt Động Phủ,action,mutual,Contest dwelling
驱赶,驅趕,Drive Away,追い払う,Xua Đuổi,action,mutual,Force to leave
接受,接受,Accept,受け入れる,Chấp Nhận,action,feedback,
拒绝,拒絕,Reject,拒否,Từ Chối,action,feedback,
让步,讓步,Yield,譲歩,Nhượng Bộ,action,feedback,
试图远离,試圖遠離,Try to Distance,距離を取ろうとする,Thử Rời Xa,action,feedback,
试图离开区域,試圖離開區域,Try to Leave Area,地域を離れようとする,Thử Rời Khỏi Khu Vực,action,feedback,
逃离,逃離,Flee,逃走,Đào Ly,action,feedback,
战斗,戰鬥,Fight,戦闘,Chiến Đấu,action,feedback,
误入洞府,誤入洞府,Stumbled into Cave Dwelling,誤入洞府,Ngộ Nhập Động Phủ,event,fortune,Equipment
巧捡神兵,巧撿神兵,Found Divine Weapon,巧撿神兵,Nhặt Được Thần Binh,event,fortune,Equipment
巧捡奇物,巧撿奇物,Found Treasure,巧撿奇物,Nhặt Được Kỳ Vật,event,fortune,Equipment
误入试炼,誤入試煉,Entered Trial Ground,誤入試煉,Ngộ Nhập Thí Luyện,event,fortune,Equipment
异象出世,異象出世,Witnessed Strange Phenomenon,異象出世,Dị Tượng Xuất Thế,event,fortune,Equipment
高人赠予,高人贈予,Gift from Expert,高人贈予,Cao Nhân Tặng Cho,event,fortune,Equipment
高人指点,高人指點,Guidance from Expert,高人指點,Cao Nhân Chỉ Điểm,event,fortune,Technique
玄妙感悟,玄妙感悟,Mystical Insight,玄妙感悟,Huyền Diệu Cảm Ngộ,event,fortune,Technique
危难相救,危難相救,Rescued from Danger,危難相救,Nguy Nan Tương Cứu,event,fortune,Find Master
品行打动,品行打動,Impressed by Character,品行打動,Phẩm Hạnh Cảm Động,event,fortune,Find Master
展露天赋,展露天賦,Displayed Talent,展露天賦,Triển Lộ Thiên Phú,event,fortune,Find Master
机缘巧合,機緣巧合,Fateful Coincidence,機緣巧合,Cơ Duyên Xảo Hợp,event,fortune,Find Master
通过考验,通過考驗,Passed Trial,通過考驗,Vượt Qua Khảo Nghiệm,event,fortune,Find Master
偶遇灵矿,偶遇靈礦,Found Spirit Mine,偶遇靈礦,Ngẫu Ngộ Linh Khoáng,event,fortune,Spirit Stones
洞府遗财,洞府遺財,Cave Dwelling Treasure,洞府遺財,Động Phủ Di Tài,event,fortune,Spirit Stones
击杀妖兽,擊殺妖獸,Slew Monster,擊殺妖獸,Kích Sát Yêu Thú,event,fortune,Spirit Stones
交易获利,交易獲利,Profitable Trade,交易獲利,Giao Dịch Đắc Lợi,event,fortune,Spirit Stones
赌石得宝,賭石得寶,Won Stone Gambling,賭石得寶,Đổ Thạch Đắc Bảo,event,fortune,Spirit Stones
拾遗藏宝,拾遺藏寶,Found Hidden Treasure,拾遺藏寶,Nhặt Được Tàng Bảo,event,fortune,Spirit Stones
顿悟玄机,頓悟玄機,Sudden Enlightenment,頓悟玄機,Đốn Ngộ Huyền Cơ,event,fortune,Cultivation
古碑感悟,古碑感悟,Insight from Ancient Stele,古碑感悟,Cảm Ngộ Cổ Bi,event,fortune,Cultivation
服食灵药,服食靈藥,Consumed Spirit Medicine,服食靈藥,Phục Thực Linh Dược,event,fortune,Cultivation
秘境吐纳,祕境吐納,Respired in Secret Realm,祕境吐納,Bí Cảnh Thổ Nạp,event,fortune,Cultivation
前辈灌顶,前輩灌頂,Empowerment from Senior,前輩灌頂,Tiền Bối Quán Đỉnh,event,fortune,Cultivation
灵泉淬体,靈泉淬體,Tempered by Spirit Spring,靈泉淬體,Linh Tuyền Thối Thể,event,fortune,Cultivation
传承记忆,傳承記憶,Inherited Memory,傳承記憶,Ký Ức Truyền Thừa,event,fortune,Cultivation
遭遇扒手,遭遇扒手,Encountered Pickpocket,遭遇扒手,Gặp Phải Móc Túi,event,misfortune,Loss - Spirit stones
误买假货,誤買假貨,Bought Counterfeit Goods,誤買假貨,Mua Nhầm Hàng Giả,event,misfortune,Loss - Spirit stones
遭人勒索,遭人勒索,Was Extorted,遭人勒索,Bị Tống Tiền,event,misfortune,Loss - Spirit stones
洞府失窃,洞府失竊,Cave Dwelling Robbed,洞府失竊,Động Phủ Bị Trộm,event,misfortune,Loss - Spirit stones
赌石惨败,賭石慘敗,Lost Stone Gambling,賭石慘敗,Đổ Thạch Thảm Bại,event,misfortune,Loss - Spirit stones
投资失败,投資失敗,Failed Investment,投資失敗,Đầu Tư Thất Bại,event,misfortune,Loss - Spirit stones
修炼岔气,修煉岔氣,Cultivation Deviation,修煉岔氣,Tẩu Hỏa Sai Khí,event,misfortune,Injury - Qi went astray
出门摔伤,出門摔傷,Fell and Got Injured,出門摔傷,Ra Ngoài Trượt Ngã,event,misfortune,Injury
妖兽偷袭,妖獸偷襲,Ambushed by Beast,妖獸偷襲,Yêu Thú Tập Kích,event,misfortune,Injury
仇家闷棍,仇家悶棍,Ambushed by Enemy,仇家悶棍,Kẻ Thù Đánh Lén,event,misfortune,Injury
误触机关,誤觸機關,Triggered Trap,誤觸機關,Lỡ Chạm Cơ Quan,event,misfortune,Injury
天降横祸,天降橫禍,Unexpected Disaster,天降橫禍,Thiên Giáng Hoành Họa,event,misfortune,Injury
心魔滋生,心魔滋生,Heart Demon Arose,心魔滋生,Tâm Ma Nảy Sinh,event,misfortune,Backlash
灵气逆行,靈氣逆行,Qi Reversal,靈氣逆行,Linh Khí Nghịch Hành,event,misfortune,Backlash
感悟错乱,感悟錯亂,Confused Insight,感悟錯亂,Cảm Ngộ Hỗn Loạn,event,misfortune,Backlash
急火攻心,急火攻心,Overcome by Rage,急火攻心,Cấp Hỏa Công Tâm,event,misfortune,Backlash
心魔,心魔,Heart Demon Tribulation,心魔,Tâm Ma,event,tribulation,Inner demon - self-doubt
雷劫,雷劫,Thunder Tribulation,雷劫,Lôi Kiếp,event,tribulation,Heavenly lightning
肉身,肉身,Body Tribulation,肉身,Nhục Thân Kiếp,event,tribulation,Physical transformation
寻仇,尋仇,Vengeance Tribulation,尋仇,Tầm Thù,event,tribulation,Past enemies return
情劫,情劫,Emotion Tribulation,情劫,Tình Kiếp,event,tribulation,Love/attachment trial
阳罡,陽罡,Yang Force Tribulation,陽罡,Dương Cương,event,tribulation,Scorching yang energy
雷火,雷火,Thunder-Fire Tribulation,雷火,Lôi Hỏa,event,tribulation,Combined lightning and fire
风灾,風災,Wind Disaster Tribulation,風災,Phong Tai,event,tribulation,Violent tempest
阴狱,陰獄,Yin Prison Tribulation,陰獄,Âm Ngục,event,tribulation,Netherworld judgment
魔劫,魔劫,Demonic Tribulation,魔劫,Ma Kiếp,event,tribulation,Inner demons manifest
老死,老死,Died of Old Age,老衰死,Chết Già,event,death,Lifespan exhausted
战死,戰死,Died in Battle,戦死,Chiến Tử,event,death,
重伤不治,重傷不治,Died from Severe Injuries,重傷死,Trọng Thương Bất Trị,event,death,
平静,平靜,Calm,平静,Bình Tĩnh,emotion,,
开心,開心,Happy,愉快,Vui Vẻ,emotion,,
愤怒,憤怒,Angry,怒り,Phẫn Nộ,emotion,,
悲伤,悲傷,Sad,悲しみ,Bi Thương,emotion,,
恐惧,恐懼,Fearful,恐怖,Sợ Hãi,emotion,,
